# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090801_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090801/19a12347c55c8fbb1cd676e5b9f1622f11098b34.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/19a3207652271e7db0aa20382fac17230c22a46a.Small rejected 20090801/19a3207652271e7db0aa20382fac17230c22a46a.Small 0
20090801/19ac23eef1e88bdbddad7ff347b049ad6be33bfe.Swizzor C001-0030 20090801/d0a7d5d204c8ac6a8861f09dd63eed1d5c77cb0d.Swizzor 0.332835
20090801/19bd1f2711d17ac54b5e2de2d4ac1172114b979e.NothingFound rejected 20090801/19bd1f2711d17ac54b5e2de2d4ac1172114b979e.NothingFound 0.000338469
20090801/19d01426b05e8b6ce00b4d372a637d4205c30431.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.59679
20090801/19f047e8b9727c805cfc385198834c05def6a412.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.568578
20090801/19f238912638e9f5c9781a4cb92d70eeb1f66857.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.568578
20090801/1a0c5911e71b4520d20b5f2bb03952de4e6aeb0f.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.534498
20090801/1a0ccc17087d916c400d505ec9f805045221b52d.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.532619
20090801/1a351f92c46890bdba2b106168fde633d9e50d56.Scar rejected 20090801/1a351f92c46890bdba2b106168fde633d9e50d56.Scar 5.60648e-05
20090801/1a3b02b20a183d99f1d14fa1d128701c21a898e9.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.578135
20090801/1a57fcf04541f6b183c509a4597f042fd5f1530e.Hupigon rejected 20090801/1a57fcf04541f6b183c509a4597f042fd5f1530e.Hupigon 0
20090801/1a6adbfe5f5a6d86c0ad5ec59ea4e18edca98dca.Buzus rejected 20090801/1a6adbfe5f5a6d86c0ad5ec59ea4e18edca98dca.Buzus 0
20090801/1a700fc57ef8d9a368c9d96eb16b5817206e9ceb.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/1a75ee34ea90b36967557e01dfb60b24eb7f15a8.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.406033
20090801/1a8bb0bcdd52eed4e0e4ec1faabc1ee9597451e4.Agent rejected 20090801/1a8bb0bcdd52eed4e0e4ec1faabc1ee9597451e4.Agent 0
20090801/1aa6be584ae858a26d3fac68d420f9c7dc995949.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.304162
20090801/1ab041f147e607d82e59adb9357d419241c11678.Agent rejected 20090801/1ab041f147e607d82e59adb9357d419241c11678.Agent 0.000202135
20090801/1ac33c559f5d320d4dbe882d92da399ce735564b.NothingFound C001-0679 20090801/1ac33c559f5d320d4dbe882d92da399ce735564b.NothingFound 0
20090801/1ae52ffb7fee8193d693c6e897168c77450b4f54.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.568578
20090801/1af3deca6e8e467c33e01cf615d08184d150f0a3.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.538892
20090801/1b11aa1e4ab5b61863a4769fc6936ea0cb3854a2.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/1b21e856f9d2f25118de2745c7c1f0ff2c1b4be4.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.557869
20090801/1b405399dd51b36bb86a7ee184d4e8c7fc0a018e.FlyStudio C001-0805 20090801/1b405399dd51b36bb86a7ee184d4e8c7fc0a018e.FlyStudio 0.000429802
20090801/1b4127c0e5b7d59652b01338d15732bcde2da6b8.Agent rejected 20090801/1b4127c0e5b7d59652b01338d15732bcde2da6b8.Agent 0.000202135
20090801/1b474b6e3fb14a82aa2b4bb26a0fa1a49d3538d5.Swizzor C001-0030 20090801/d0a7d5d204c8ac6a8861f09dd63eed1d5c77cb0d.Swizzor 0.209575
20090801/1b47944bfc08906fd0ec92e45944992fdd6f8143.Lipler C001-0754 20090801/59f364cd972bd4528bf6ddf9089123ba8d691635.Lipler 0.418016
20090801/1b5c852871ca30d100c981d9a6c9c8d9c749c6ae.Inject rejected 20090801/1b5c852871ca30d100c981d9a6c9c8d9c749c6ae.Inject 0.000419213
20090801/1b670a4aa90d0c79cbb830e912a8b98e61e0a0c1.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.610696
20090801/1b9845d2127d90826cfccf45005bff3ddcedb9af.NothingFound rejected 20090801/1b9845d2127d90826cfccf45005bff3ddcedb9af.NothingFound 0.000273731
20090801/1bac8646d102009f6b17e04e9645a5387e6a2fff.VB C001-0152 20090801/7b327a3214e3e7207388bbb34915ba51263a969b.VB 0.359636
20090801/1bea2b727e25f6f34831317ae2654eca4de456e1.NothingFound C001-0706 20090801/e38df1881d19b96683dc2b32cf685bb4a5b78c97.NothingFound 0.471404
20090801/1bedb0b098ae98f30540ced4e3aa0e4f838bca9c.Swizzor C001-0099 20090801/7013171bdd9e29a25318f5e7dac05776077c6a11.Swizzor 0.520756
20090801/1bf0749ef3609a1456271311108c8569cf28c101.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.316949
20090801/1bf4aed9e395e76947ea69d8bb5019ed08ef869e.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.533817
20090801/1bf874685827988e1cb6ffcca970f65407cf3a07.AutoRun C001-0129 20090801/03256f54b5b26a28fbcee8c5a007d338acc53a06.AutoRun 0.274204
20090801/1bff59cab2d69c7b314a28cf178685851959a184.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.538242
20090801/1c0a3ead5bd9b5717ef7c375f622c8c955f53adc.Krap C001-0520 20090801/600b2cc73e485916f7ea2ff15a5e0de7272b6432.Krap 0.580106
20090801/1c19ba3602e5509dcfc6748811a64bf06d43e7d0.NothingFound C001-0639 20090801/18358573d2310d67a442931bf86ca9035003cc07.NothingFound 0.595464
20090801/1c20b5a448cfb9ec02577aaf61b09198096cea93.Swizzor C001-0099 20090801/0749ff65cca6867f2c1b51616574cc17be9c528f.Swizzor 0.574761
20090801/1c27529bf041a1531d07920628c5313bf240d14f.Magania C001-0650 20090801/4f9cef562a8138b658b05d52f2079023f9a3f921.Magania 0.553569
20090801/1c3163a95c1b502c0c41407be42b511d9d7e6fb0.Swizzor C001-0099 20090801/7013171bdd9e29a25318f5e7dac05776077c6a11.Swizzor 0.520756
20090801/1c4a8b9c648421ae900732313d291e91946614ad.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.358569
20090801/1c56d526fac2aca1054e9d4c4abe2aae45756004.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.546112
20090801/1c709eb93696a89a730fb8ec4167c510acbcdfb6.Swizzor C001-0099 20090801/7013171bdd9e29a25318f5e7dac05776077c6a11.Swizzor 0.520756
20090801/1c8386b627b3b2444428f8509b350f00215d5969.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.567428
20090801/1c86744786951ad0696f30cc824430718c508c27.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.538892
20090801/1cc1a04a7952f4037e4752b1cb0c35b42cee7f33.NothingFound C001-0491 20090801/1cc1a04a7952f4037e4752b1cb0c35b42cee7f33.NothingFound 0
20090801/1ccd30dd4c35c2771b127b3f66453614fa087ae8.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.564496
20090801/1cd48be1d780d560e1ef95997dec7c56dd3d2708.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
20090801/1cdf10e2d9640e0580f2ffc067cee963995c07bc.NothingFound C001-0491 20090801/2376f6cd9694b16866633260922264ab537c6e31.NothingFound 0.565685
20090801/1cfe04d7309ee1ad8501647b3020786d2eda16ae.Virut C001-0752 20090801/1cfe04d7309ee1ad8501647b3020786d2eda16ae.Virut 0.000256133
20090801/1d0243fd4b0cc1fc389cf2a042fb9293c3077f8b.Agent rejected 20090801/446fbcf71c902f2e6459e9bad3b5ad73b5404257.NothingFound 0.475191
20090801/1d1a00db12df6d2ea33896a51e64144d85643e72.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.574147
20090801/1d4702e271166dc722db3ba3b1696c902a32f7bd.VB C001-0151 20090801/1647088e3f2cee883d88ed0cdd9273c64f6d98b8.VB 0.291016
20090801/1d4f732e2ed664bd1179fb67c120f7884dbbbd16.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.553654
20090801/1da3afc861f579f3b71d08d01766e3eaabad124e.NothingFound rejected 20090801/1da3afc861f579f3b71d08d01766e3eaabad124e.NothingFound 0
20090801/1da5766ef5b37cee9709ecacc2492a603ad25e62.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.331042
20090801/1daf477c23a254574d1593378245aaa2b91866e8.Swizzor C001-0030 20090801/d0a7d5d204c8ac6a8861f09dd63eed1d5c77cb0d.Swizzor 0.295729
20090801/1dc099cbf1b31ca5cda1bf9c292ece345a7b5827.NothingFound C001-0507 20090801/6c4c07634142dee6eb7bcbe317218dbad7a5f906.Injecter 0.488457
20090801/1dc2e28a382db804e3c8ad624e2339e8165b59fc.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.531522
20090801/1de288fa570e937d9bed0c8434e46ac46d527887.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/1de50032f07a6e7c087d464c9cd5f951142f3859.Stabs rejected 20090801/1de50032f07a6e7c087d464c9cd5f951142f3859.Stabs 0.000360642
20090801/1ded90ec8faff5f62330380337fabfadc7ad5db0.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.59858
20090801/1e03979dd332208a018e4d7ed189537429bf31f0.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/1e0f96c107afac017ac8ea2880c328eda385916b.NothingFound rejected 20090801/1e0f96c107afac017ac8ea2880c328eda385916b.NothingFound 0.00032561
20090801/1e1c89a7fe69b21a5db4fd711c73f4e8e18014fb.Zlob rejected 20090801/1e1c89a7fe69b21a5db4fd711c73f4e8e18014fb.Zlob 0
20090801/1e1cc235291c576f6e5f480fcfd444d7671b338d.NothingFound rejected 20090801/1e1cc235291c576f6e5f480fcfd444d7671b338d.NothingFound 0
20090801/1e2f19b3573cf4afa14cb383036ca0f83a8b78d9.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.596805
20090801/1e31d46906aa6151b809b21553fe61890abaf692.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.508701
20090801/1e373f98a30bf41c0f449ec8a817ca4db047ac8a.NothingFound C001-0507 20090801/6c4c07634142dee6eb7bcbe317218dbad7a5f906.Injecter 0.488457
20090801/1e4eac934e42ef88beb7dda4e8b04d74f97fe2e1.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/1e76ab831c56c8b89c2df5e2a7d808f9fb225fff.Tdss rejected 20090801/1e76ab831c56c8b89c2df5e2a7d808f9fb225fff.Tdss 0
20090801/1e84739e82fefeafcd875e8f51e96823dba7d4f5.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.507588
20090801/1ea4fa4abe86ce7ee1b6d56038fbaf5d99051079.Swizzor C001-0099 20090801/0749ff65cca6867f2c1b51616574cc17be9c528f.Swizzor 0.480991
20090801/1eac99e2eb900bf70e7cb4abe491e2d5f91c1814.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.519532
20090801/1ec56c05168e40326604847be7afee50aa722c3d.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.34456
20090801/1eca88645f8844dacb00acae5837039ee186650e.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/1ed14650d6614acb028462872ec130eed44d7425.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.544681
20090801/1ee8a517e443f3b0a77a6de8b7c8d50bf9e68df2.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.532619
20090801/1ee93f15f8aebc336d50bf6b498ced417988b361.Lipler C001-0754 20090801/7ca389dabef82df415991d56196b2a8858aa3554.Lipler 0.348003
20090801/1eea5ccdbd5ea8202cc68ffe2355fbc8dbe990fc.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.550429
20090801/1efccb839aae48264f8ea3390f76006faee87b49.NothingFound C001-0003 20090801/9e46bece498ed72ec2cf26fc8aad816c2e048c94.NothingFound 0.612084
20090801/1f061ad83af55581785d46a6f0048a0fb9f2529d.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.504021
20090801/1f0e9bcc038979fd33f03d30c4ec1b01a4e75677.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.607374
20090801/1f79511c5752b4f55458b287f2247bc8212b63a4.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.327895
20090801/1f9f332059d84f5bdbcc0c662e0079b73b8525c0.AutoRun C001-0129 20090801/03256f54b5b26a28fbcee8c5a007d338acc53a06.AutoRun 0.274204
20090801/1fa028782637b2b8efb6a957e5e6f55fcc4ce7c7.NothingFound rejected 20090801/1fa028782637b2b8efb6a957e5e6f55fcc4ce7c7.NothingFound 0
20090801/1fa4fb9321207afebf215316d0a95a9eb1f62a67.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.567661
20090801/1fb20157fa9d45a695116fafd67fdeec65c9c754.VB C001-0151 20090801/1647088e3f2cee883d88ed0cdd9273c64f6d98b8.VB 0.387088
20090801/1fbcdb23670696e46906caef57fea50ec36bac6f.VB C001-0152 20090801/7b327a3214e3e7207388bbb34915ba51263a969b.VB 0.359636
20090801/1ff2c84af78393951459bff1768137b0b4be486a.Agent rejected 20090801/1ff2c84af78393951459bff1768137b0b4be486a.Agent 0.000369852
20090801/1ffec9bb3981822f65e27af0aef0fc923b937c05.NothingFound C001-0507 20090801/6c4c07634142dee6eb7bcbe317218dbad7a5f906.Injecter 0.488457
20090801/200837e842b2706fcca973bcea5e98e1fd1d6586.NothingFound C001-0260 20090801/df140c9933794cbc3b0376fcd76c4c499e2cb8eb.NothingFound 0.381701
20090801/202714c6963f52d3f2390ff23915ea6aca72c9fb.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.572171
20090801/202745ea4a5ae2f9c660ff9b8d614a2e89c8dca8.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.316949
20090801/2028e80ccb835414b3369c8a70f374e5f385d17e.Agent rejected 20090801/2028e80ccb835414b3369c8a70f374e5f385d17e.Agent 0
20090801/204872cab9e85a33497918f590e9a9b75544a0cf.Magania C001-0429 20090801/df8bdfd1bace178c89f22c332b88101a49d2dbcf.Magania 0.548945
20090801/2058fcfa4628f1b13af994d64aea559a4f8bfacd.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.605343
20090801/208911d9a7833bf858da3d1f3b32408d9e8f646c.Swizzor C001-0099 20090801/af2e5998dd937bbe103dfad3e7cd63e23142dec3.Swizzor 0.536783
20090801/209d3d91db46b18625523ccb87b3e9f1b3eb9b68.NothingFound rejected 20090801/4dadae9e1c027e423bb85f7f915ec339655b3168.NothingFound 0.594082
20090801/20c8bfe7958c831089bdd6f77f41d99fb1217029.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.327895
20090801/20e403b5a466d5a76b0b7aa3e56abf4954274604.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/20ec127dade870b77cc148f1495ec496100175eb.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/20f30eefb7b3d6585ad4cafdf235e08d7d62f298.NothingFound C001-0552 20090801/20f30eefb7b3d6585ad4cafdf235e08d7d62f298.NothingFound 0.000272357
20090801/215123f072776b128471e4cd5df461ab4711b97d.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.568578
20090801/215a6160be1bc13e773bff87bc01beb687cd1aba.Magania C001-0429 20090801/df8bdfd1bace178c89f22c332b88101a49d2dbcf.Magania 0.590063
20090801/215b9b2a41efd3a15c9d65633d07eedcc5197078.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.606229
20090801/2166062d71133e8b82fc3a4cf7813c8c2a13664d.Allaple C001-0009 20090801/919b76f33e4b77a2ad2f642cf05d5f102dbb00bb.Allaple 0.383973
20090801/216654aa6e38d2a91a7e731472eeda0458d724fc.IEbooot rejected 20090801/216654aa6e38d2a91a7e731472eeda0458d724fc.IEbooot 0
20090801/21670440447a2f30a994ffea9c3548bfe310658d.Swizzor C001-0099 20090801/af2e5998dd937bbe103dfad3e7cd63e23142dec3.Swizzor 0.292233
20090801/2168c4db923e17cc8d4f10645822f62c545854fc.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.519532
20090801/2169eb04f68e3f9d59ed181f1880f7abe7fe9776.FraudLoad rejected 20090801/0a5344dfe4ee71cd8c01a181e8a3c6090a1a723c.FraudLoad 0.397468
20090801/216c4370b49231581c33a62aa81aab462b141488.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.530031
20090801/2174f561d086834d4b0870a0ce8c032b7f13b3bc.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.358569
20090801/2178ccfce53e7f74eca22eafc23732ff2e376b4c.Swizzor C001-0030 20090801/d0a7d5d204c8ac6a8861f09dd63eed1d5c77cb0d.Swizzor 0.319177
20090801/219a149220755693d9073c148602c85e69e8ab33.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.53551
20090801/21b6ca0619220867a74615fca7bc76d152b1755c.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.386593
20090801/21bfcc4454030f5dc5e292efef78183befe776d5.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.540326
20090801/21c01f7be0d4d4610b1407cb9b3ec257f7395065.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
20090801/21d3b729c6c3f460619690f67ea262668d8d3090.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.525488
20090801/21dfd0a3c29d9f526a63d7fd2ff5962bcc3d8176.Ardamax rejected 20090801/21dfd0a3c29d9f526a63d7fd2ff5962bcc3d8176.Ardamax 0
20090801/21ee886ac995106cca485bbee8484e191d6d64bb.Swizzor C001-0589 20090801/187bf36705ab57e4c3270bd2ac6166a197994acc.Swizzor 0.0939908
20090801/21f9f841bd67eab07e5eb50c676aba529af17a4f.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.578135
20090801/2217897cc9b217aa9cd8aa37c834244cc97588ba.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.513882
20090801/223a028b8e888e54910309d3a46218686a187963.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.619392
20090801/223c96aaa13b9c168f6666d3666a7e7e0c05f1d2.NothingFound rejected 20090801/223c96aaa13b9c168f6666d3666a7e7e0c05f1d2.NothingFound 0.000261643
20090801/223df87a49c71e3b433f8248f81b08160c9047c8.NothingFound C001-0204 20090801/af49ffd3c8237af3f21f60919745cd37805f638d.CryptExe 0.534188
20090801/2242105ab4f847692b0d0369f960498e558a68d6.VB rejected 20090801/ae36be1f26f9362a241fd4708d3d26bc8b1d4b7f.Agent 0.419144
20090801/226b781aebd0493c1a0279088f9d41c5a9ea57f5.NothingFound C001-0260 20090801/df140c9933794cbc3b0376fcd76c4c499e2cb8eb.NothingFound 0.381701
20090801/228f58c66bf1993a28433e071230ab78e389b610.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.558858
20090801/22919c9452c88ccf0d35624490d548335744c0e5.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.316949
20090801/229b1d915ed22cdc2577488d9f17b4d905d5d0bd.NothingFound rejected 20090801/229b1d915ed22cdc2577488d9f17b4d905d5d0bd.NothingFound 0
20090801/229cd5237e16af4477abf29ad4f9c01e2138f4a5.Inject rejected 20090801/229cd5237e16af4477abf29ad4f9c01e2138f4a5.Inject 0.000369852
20090801/22eec16e4e0b3d751d489b8c38466cc7bd4b8777.NothingFound C001-0805 20090801/b50543a1afb5ea7330255b685601559804489b5b.FlyAgent 0.63994
20090801/22f33b8deb4800780cd05f3c3bd640a968a2b319.NothingFound rejected 20090801/22f33b8deb4800780cd05f3c3bd640a968a2b319.NothingFound 0.000102786
20090801/22fda5bcdaf5b69e4290fc7890e283ba9eed965c.Swizzor C001-0099 20090801/7013171bdd9e29a25318f5e7dac05776077c6a11.Swizzor 0.369708
20090801/230927a1ee333fe161e8a11edc4c364cd5261a32.NothingFound C001-0639 20090801/ae14a9878f671dd9810f78dd80adbb733cd48782.NothingFound 0.563528
20090801/2314fcefbf5204751996fc7397f6a698b475be0d.TDSS C001-0079 20090801/2314fcefbf5204751996fc7397f6a698b475be0d.TDSS 0
20090801/2320ea454a70c6feddd2cd9a6a7af8676af7621c.TDSS C001-0507 20090801/6c4c07634142dee6eb7bcbe317218dbad7a5f906.Injecter 0.488457
20090801/2329d7207b85843baad11e5233e49b52aa18ea66.NothingFound rejected 20090801/2329d7207b85843baad11e5233e49b52aa18ea66.NothingFound 0
20090801/2330c4c561c458005a832c009d72d6cbc48c42e1.NothingFound C001-0003 20090801/e3f30f69bc23df54078f3a844a549b8935a4b67e.VB 0.521805
20090801/2340e1ec14f6efb860d7d48da00bebf557cab383.TDSS C001-0740 20090801/b8c3a4aaa873a40d3157c5c218016c217efad25d.TDSS 0.436113
20090801/2341b079b2b70bfe208dd4d17a5e907753c7472d.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.524118
20090801/2346b926efb75be48fb7d34f2a1d6828b4714276.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.541417
20090801/23543500f7e3238566e43c05ce0baab535a5d751.NothingFound C001-0260 20090801/23543500f7e3238566e43c05ce0baab535a5d751.NothingFound 0
20090801/2376f6cd9694b16866633260922264ab537c6e31.NothingFound C001-0491 20090801/2376f6cd9694b16866633260922264ab537c6e31.NothingFound 0
20090801/237d2270d108640bdfdb58de5ce33d7775872ff6.NothingFound C001-0752 20090801/24517b5d590c3174686b6af0d969e90da641c897.NothingFound 0.385175
20090801/2380cb4a329fa38721a8344b7748fccb9a21eba2.NothingFound C001-0552 20090801/aff6e99b156fd31e49e0f13cd127e20eb0af35be.NothingFound 0.534522
20090801/23aca59092c5b6510b62b1351b142a38083d04a3.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.595767
20090801/23b8983f70800e840b27d8f9e553b67df6804315.NothingFound C001-0706 20090801/e4862ba11c27d1d69bdac948a098fa91b5f21c47.NothingFound 0.595944
20090801/23c499c1743e96a6559a130d7936b741132a46ad.Tdss C001-0740 20090801/23c499c1743e96a6559a130d7936b741132a46ad.Tdss 0
20090801/23cd092c213842b4bd269b465d7757cf69888be9.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.515779
20090801/23e595bf765b9230981b53b57b778cbeb8fba45f.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.513272
20090801/23e5bc3f1385c6d9c500dfb3982af4b06188a8ce.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.558858
20090801/23eef2f5a993c999a1901bfcd68e262711c8cd2b.NothingFound C001-0491 20090801/2376f6cd9694b16866633260922264ab537c6e31.NothingFound 0.565685
20090801/2410416cbf6621347d3168bd6cb464271f68aa3d.SdBot C001-0808 20090801/2410416cbf6621347d3168bd6cb464271f68aa3d.SdBot 0.000285702
20090801/24211f0039171d5cbb45361b5cd21c38c1a3e9bf.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.568578
20090801/2429a2c539119d4631ea68a70a1a0a517ee4aea1.NothingFound rejected 20090801/2429a2c539119d4631ea68a70a1a0a517ee4aea1.NothingFound 0
20090801/243c4be0240599c8f34d2efd7ab208060a7faea2.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.558858
20090801/2450112b14843e8358f7e2ba035f8c221977f6d6.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
20090801/24517b5d590c3174686b6af0d969e90da641c897.NothingFound C001-0752 20090801/24517b5d590c3174686b6af0d969e90da641c897.NothingFound 0.000256133
20090801/247f8fe113cea91a81707f53b59fbd49790d04a6.AutoRun rejected 20090801/247f8fe113cea91a81707f53b59fbd49790d04a6.AutoRun 0
20090801/247ffce1413f2aebbde6964ba4008adff8148456.Feardoor C001-0808 20090801/247ffce1413f2aebbde6964ba4008adff8148456.Feardoor 0
20090801/249e6d6530ea3d520e290030a65b361e4214c81b.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.286691
20090801/24a1844cd2493338a7794bdb1c2275b691ef32f8.Swizzor C001-0099 20090801/810175e29d825d990f509e9457e230b3b2197276.Swizzor 0.43575
20090801/24a40eca144696a8867704218b72ef11ca0f3a4a.Delf rejected 20090801/24a40eca144696a8867704218b72ef11ca0f3a4a.Delf 0
20090801/24b5ae95adadd31c6413516343a5e2618f6df81e.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.558858
